mid_month,num_trans,num_day,std
20460510000057_8,0.074906367,0.590909091,0.111827494
20460510000057_9,0.138576779,0.954545455,0.095941663
20388880000016_7,0.307116105,0.954545455,0.097382122
20388880000016_8,0.153558052,0.681818182,0.101706811
20360510000046_7,0.235955056,0.636363636,0.224409441
20360510000046_8,0.232209738,0.772727273,0.185178774
20360510000046_9,0.269662921,0.818181818,0.159400309
20360510000116_8,0.146067416,1,0.065656631
20360510000116_9,0.161048689,0.909090909,0.103231054
20360510000048_7,0.086142322,0.909090909,0.037213167
20360510000048_8,0.142322097,0.909090909,0.068314741
20360510000048_9,0.119850187,0.863636364,0.060760933
20360510000090_8,0.04494382,0.5,0.062484138
20400000000049_7,0.011235955,0.5,0.0577049
20400000000049_9,0.011235955,0.5,0.080863157
20300000000234_9,0.037453184,0.772727273,0.023665911
20360510000066_7,0.071161049,0.545454545,0.090143855
20360510000066_8,0.101123596,0.545454545,0.121347782
20360510000066_9,0.08988764,0.363636364,0.147107105
20300000001466_7,0.033707865,0.954545455,0.003068664
20300000001466_8,0.037453184,0.727272727,0.022053237
20300000000975_8,0.029962547,0.590909091,0.054246701
20360510000013_8,0.138576779,0.590909091,0.325394895
20360510000013_9,0.123595506,0.454545455,0.326865985
20360510000023_7,0.093632959,0.863636364,0.079749462
20300000000574_9,0,0.772727273,0.013413617
20388880000025_7,0.093632959,0.727272727,0.089255322
20388880000025_8,0.153558052,0.772727273,0.103246976
20388880000025_9,0.033707865,0.545454545,0.06821985
20460510000008_7,0.074906367,0.772727273,0.056368159
20460510000008_8,0.037453184,0.772727273,0.025004901
20460510000008_9,0.161048689,0.727272727,0.128959957
20300000001020_7,0.026217228,0.636363636,0.046026418
20300000001020_8,0.029962547,0.727272727,0.036595029
20300000001020_9,0.063670412,0.772727273,0.056149296
20300000000088_7,0.018726592,0.863636364,0.006417346
20300000000088_9,0.003745318,0.545454545,0.033940763
20460510000026_7,0.441947566,0.5,0.369604501
20460510000026_8,0.453183521,0.590909091,0.371375221
20460510000026_9,0.258426966,0.409090909,0.25796638
20488880000019_7,0,0.136363636,0.138127246
20488880000019_8,0.011235955,0.272727273,0.114186039
20300000000082_7,0.014981273,0.590909091,0.026674006
20460510000044_8,0.235955056,0.863636364,0.161194956
20460510000044_9,0.314606742,0.863636364,0.25186384
20360510000011_7,0.018726592,0.727272727,0.027223483
20360510000011_8,0.007490637,0.636363636,0.019445913
20360510000011_9,0.026217228,0.636363636,0.036889031
20360510000113_8,0.176029963,0.636363636,0.170581604
20300000005856_8,1,0.272727273,1
20488880000026_7,0.400749064,0.772727273,0.268725678
20488880000026_8,0.367041199,0.409090909,0.33242344
20488880000026_9,0.25093633,0.5,0.225384956
20360510000015_9,0.131086142,0.272727273,0.22556736
20360510000094_7,0.007490637,0.727272727,0.02685754
20360510000094_8,0.007490637,0.818181818,0.004060175
20360510000094_9,0,0.727272727,0.009875433
20488880000014_8,0.033707865,0.318181818,0.153076752
20488880000029_9,0.011235955,0.090909091,0.140714242
20388880000010_7,0.026217228,0.818181818,0.01288676
20388880000010_8,0.037453184,0.727272727,0.025004901
20388880000010_9,0,0.545454545,0.03598272
20488880000022_7,0.509363296,0.954545455,0.245575912
20488880000022_9,0.292134831,0.363636364,0.287147412
20300000000989_8,0.029962547,0.318181818,0.166644163
20488880000027_8,0,0.318181818,0.06934435
20488880000027_9,0.033707865,0.181818182,0.22422704
20400000000052_7,0.011235955,0.136363636,0.109817582
20400000000052_8,0.011235955,0.136363636,0.1090787
20400000000052_9,0.02247191,0.136363636,0.132840842
20400000000106_7,0.052434457,0.227272727,0.109698622
20400000000106_8,0.059925094,0.227272727,0.127982945
20400000000106_9,0.254681648,0.318181818,0.265573417
20460510000048_7,0.059925094,0.5,0.079893425
20488880000030_7,0.003745318,0.136363636,0.119892976
20488880000030_8,0.011235955,0.227272727,0.077250113
20488880000030_9,0.018726592,0.136363636,0.120832895
20460510000050_8,0.074906367,0.772727273,0.061595848
20460510000050_9,0.026217228,0.454545455,0.046943227
20300000006765_9,0.033707865,0.590909091,0.055557873
20300000000075_9,0.003745318,0,0.275257777
20360510000035_7,0.078651685,0.863636364,0.045002369
20360510000035_8,0.029962547,0.636363636,0.037868323
20388880000028_9,0.104868914,1,0.05531676
20360510000136_8,0.288389513,0.954545455,0.154762389
20388880000006_8,0.262172285,0.954545455,0.109651015
20300000000189_7,0.546816479,0.909090909,0.2674235
20300000000189_8,0.535580524,0.863636364,0.267957393
20400000000005_8,0.007490637,0.772727273,0.009554132
20300000000078_7,0.011235955,0.772727273,0.015397944
20300000000078_8,0.056179775,0.954545455,0.010176537
20300000000078_9,0.02247191,0.727272727,0.019077594
20388880000027_7,0.243445693,1,0.103814703
20300000000188_7,0.02247191,0.727272727,0.027724234
20300000000188_9,0,0.727272727,0.006155452
20388880000021_9,0.131086142,0.909090909,0.07014693
20360510000029_7,0.086142322,0.954545455,0.025004901
20360510000029_8,0.033707865,0.5,0.060867331
20360510000088_7,0.209737828,1,0.098200266
20360510000088_9,0.082397004,0.818181818,0.080481138
20460510000055_7,0.161048689,1,0.080496487
20460510000055_8,0.123595506,0.818181818,0.078650551
20460510000055_9,0.138576779,0.909090909,0.067750425
20360510000139_9,0.329588015,0.681818182,0.265573417
20360510000163_7,0.876404494,0.590909091,0.537606689
20360510000163_8,0.868913858,0.5,0.562094214
20488880000004_7,0.543071161,0.863636364,0.350916156
20488880000004_8,0.722846442,0.954545455,0.418784485
20360510000169_7,0.176029963,0.954545455,0.05763671
20360510000169_9,0.168539326,0.954545455,0.055112355
20388880000011_7,0.071161049,0.590909091,0.087626346
20388880000011_8,0.284644195,0.954545455,0.138942778
20400000000082_7,0.014981273,0.545454545,0.052763353
20400000000082_8,0.018726592,0.318181818,0.060634627
20400000000082_9,0.04494382,0.409090909,0.097521843
20360510000119_8,0.123595506,1,0.061397586
20360510000119_9,0.119850187,0.681818182,0.161949815
20300000005939_7,0.134831461,0.954545455,0.077981248
20488880000003_7,0.220973783,0.954545455,0.164433213
20488880000003_8,0.322097378,0.954545455,0.152486518
20360510000044_8,0.157303371,1,0.053895236
20388880000032_9,0.299625468,0.818181818,0.151406157
20360510000031_7,0.071161049,1,0.02584339
20360510000031_9,0.04494382,0.954545455,0.012719275
20400000000237_8,0.176029963,0.727272727,0.118403825
20400000000237_9,0.146067416,0.863636364,0.071198268
20360510000068_7,0.026217228,0.909090909,0
20360510000068_8,0.029962547,0.818181818,0.022824719
20400000000010_7,0.048689139,0.772727273,0.029921941
20400000000010_9,0.018726592,0.454545455,0.053237593
20400000000141_7,0.037453184,0.863636364,0.009040871
20400000000141_8,0.052434457,0.772727273,0.036677669
20400000000141_9,0.026217228,0.818181818,0.011103413
20300000001345_7,0.08988764,0.772727273,0.056677967
20300000001345_8,0.097378277,0.636363636,0.111639314
20460510000019_7,0.176029963,0.909090909,0.108288638
20460510000019_8,0.146067416,0.954545455,0.106673231
20460510000051_9,0.007490637,0.454545455,0.05531676
20488880000011_7,0.04494382,0.772727273,0.022584381
20488880000011_8,0.074906367,0.636363636,0.148735966
20488880000011_9,0.052434457,0.590909091,0.119863562
20388880000037_7,0.029962547,0.727272727,0.025750618
20388880000037_8,0.041198502,0.636363636,0.04241809
20388880000037_9,0.029962547,0.636363636,0.038525903
20300000000112_7,0.018726592,0.454545455,0.037909129
20400000000013_8,0.014981273,0.363636364,0.097125592
20400000000050_8,0.187265918,0.954545455,0.104454158
20400000000050_9,0.224719101,1,0.092012605
20400000000017_7,0.119850187,0.681818182,0.11060067
20360510000146_7,0.101123596,0.409090909,0.24621399
20360510000146_8,0.007490637,0.090909091,0.247605209
